rewards,mec_cpu_utilization,mec_ram_utilization,mec_storage_utilization,mec_bw_utilization,ran_bwp1_utilization,ran_bwp2_utilization
4951,13.333333333333334,9.375,6.4,10.0,0.3663003663003663,0.0
,13.333333333333334,9.375,6.4,10.0,0.3663003663003663,0.3703703703703704
,13.333333333333334,9.375,6.4,10.0,0.3663003663003663,0.4761904761904762
,13.333333333333334,9.375,6.4,10.0,0.3663003663003663,0.4761904761904762
,13.333333333333334,9.375,6.4,10.0,0.6541077969649398,0.4761904761904762
,13.333333333333334,9.375,6.4,10.0,0.6541077969649398,0.8994708994708994
,26.666666666666668,18.75,12.8,20.0,1.0727367870225013,0.8994708994708994
,26.666666666666668,18.75,12.8,20.0,1.0727367870225013,1.0582010582010581
,26.666666666666668,18.75,12.8,20.0,1.3605442176870748,1.0582010582010581
,26.666666666666668,18.75,12.8,20.0,1.3605442176870748,1.5343915343915344
,26.666666666666668,18.75,12.8,20.0,1.3605442176870748,1.5343915343915344
,26.666666666666668,18.75,12.8,20.0,1.3605442176870748,1.746031746031746
,40.0,31.25,19.2,30.0,1.7530088958660386,1.746031746031746
,40.0,31.25,19.2,30.0,1.7530088958660386,1.8518518518518516
,40.0,31.25,19.2,30.0,1.7530088958660386,2.0634920634920633
,40.0,31.25,19.2,30.0,1.7530088958660386,2.433862433862434
,40.0,31.25,19.2,30.0,1.7530088958660386,2.433862433862434
,40.0,31.25,19.2,30.0,1.7530088958660386,2.6455026455026456
,40.0,31.25,19.2,30.0,1.7530088958660386,2.751322751322751
,40.0,31.25,19.2,30.0,1.7530088958660386,2.751322751322751
,40.0,31.25,19.2,30.0,1.9884877027734171,2.751322751322751
,53.333333333333336,43.75,25.6,40.0,2.511773940345369,2.751322751322751
,53.333333333333336,43.75,25.6,40.0,2.5902668759811616,2.751322751322751
,53.333333333333336,43.75,25.6,40.0,2.6687598116169546,2.751322751322751
,53.333333333333336,43.75,25.6,40.0,2.7210884353741496,2.751322751322751
,53.333333333333336,43.75,25.6,40.0,2.7210884353741496,2.857142857142857
,53.333333333333336,43.75,25.6,40.0,2.7210884353741496,2.857142857142857
,53.333333333333336,43.75,25.6,40.0,2.8519099947671376,2.857142857142857
,53.333333333333336,43.75,25.6,40.0,2.8519099947671376,2.857142857142857
,53.333333333333336,43.75,25.6,40.0,2.8519099947671376,2.9629629629629632
,53.333333333333336,43.75,25.6,40.0,2.8519099947671376,3.068783068783069
,66.66666666666666,56.25,32.0,50.0,3.8461538461538463,3.068783068783069
,66.66666666666666,56.25,32.0,50.0,3.8461538461538463,3.068783068783069
,80.0,68.75,38.4,60.0,4.23861852433281,3.068783068783069
,80.0,68.75,38.4,60.0,4.23861852433281,3.2275132275132274
,80.0,68.75,38.4,60.0,4.23861852433281,3.2275132275132274
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.2275132275132274
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.2275132275132274
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.3862433862433865
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.3862433862433865
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.3862433862433865
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.3862433862433865
,93.33333333333333,78.125,44.800000000000004,70.0,4.631083202511774,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.650793650793651
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.709576138147567,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.78806907378336,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.78806907378336,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.8403976975405545,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,3.8624338624338623
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,4.1269841269841265
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,4.338624338624339
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.89272632129775,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.604918890633177,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.866562009419153,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.866562009419153,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.918890633176347,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,4.99738356881214,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,5.049712192569335,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,5.049712192569335,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,5.049712192569335,4.708994708994709
,93.33333333333333,78.125,44.800000000000004,70.0,5.049712192569335,4.973544973544974
