rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean
0.0,11,0,1,1,0.96,1.0
0.0,8,0,2,2,0.9199999999999999,1.0
0.0,10,0,3,3,0.8799999999999999,1.0
0.0,10,0,4,4,0.8399999999999999,1.0
0.0,11,0,5,5,0.7999999999999998,1.0
0.0,12,0,6,6,0.7599999999999998,1.0
0.0,13,0,7,7,0.7199999999999998,1.0
0.125,15,0,9,8,0.6400000000000001,1.125
0.1111111111111111,16,0,10,9,0.6000000000000001,1.1111111111111112
0.1,17,0,11,10,0.56,1.1
0.09090909090909091,17,0,12,11,0.52,1.0909090909090908
0.08333333333333333,18,0,13,12,0.48,1.0833333333333333
0.07692307692307693,18,0,14,13,0.43999999999999995,1.0769230769230769
0.07142857142857142,19,0,15,14,0.3999999999999999,1.0714285714285714
0.06666666666666667,19,0,16,15,0.3599999999999999,1.0666666666666667
0.0625,20,0,17,16,0.31999999999999984,1.0625
0.058823529411764705,20,0,18,17,0.28000000000000025,1.0588235294117647
0.05555555555555555,20,0,19,18,0.2400000000000002,1.0555555555555556
0.05263157894736842,21,0,20,19,0.20000000000000018,1.0526315789473684
0.1,21,1,22,20,0.1200000000000001,1.1
0.09523809523809523,22,1,23,21,0.08000000000000007,1.0952380952380953
0.13636363636363635,23,1,25,22,0.0,1.1363636363636365
0.13043478260869565,23,1,26,23,0,1.1304347826086956
0.125,23,1,27,24,0,1.125
0.12,23,1,28,25,0,1.12
0.11538461538461539,23,1,29,26,0,1.1153846153846154
0.1111111111111111,24,1,30,27,0,1.1111111111111112
0.10714285714285714,24,1,31,28,0,1.1071428571428572
0.10344827586206896,24,1,32,29,0,1.103448275862069
0.1,24,1,33,30,0,1.1
0.0967741935483871,24,1,34,31,0,1.096774193548387
0.125,25,1,36,32,0,1.125
0.12121212121212122,25,1,37,33,0,1.121212121212121
0.11764705882352941,25,1,38,34,0,1.1176470588235294
0.11428571428571428,25,1,39,35,0,1.1142857142857143
0.1388888888888889,26,1,41,36,0,1.1388888888888888
0.13513513513513514,26,1,42,37,0,1.135135135135135
