rewards,mec_cpu_utilization,mec_ram_utilization,mec_storage_utilization,mec_bw_utilization,ran_bwp1_utilization,ran_bwp2_utilization
8,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,77.34375,81.28,86.5,0.9157509157509158,0.0
,82.8125,80.46875,82.56,88.0,1.5175300889586603,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,77.34375,81.28,86.5,0.3663003663003663,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,78.125,81.28,86.5,0.9942438513867086,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,77.34375,81.28,86.5,0.47095761381475665,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,78.125,81.28,86.5,0.4186289900575615,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,79.6875,77.34375,81.28,86.5,0.5232862375719518,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
,76.5625,75.0,80.0,85.0,0.0,0.0
