rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,time/fps,time/episodes,time/time_elapsed,time/total_timesteps
1.0,2.0,0.9199999999999999,13,1,0,2
0.5,1.5,0.8799999999999999,12,2,0,3
0.6666666666666666,1.6666666666666667,0.7999999999999998,16,3,0,5
0.5,1.5,0.7599999999999998,15,4,0,6
0.4,1.4,0.7199999999999998,16,5,0,7
0.3333333333333333,1.3333333333333333,0.6800000000000002,17,6,0,8
0.2857142857142857,1.2857142857142858,0.6400000000000001,17,7,0,9
0.25,1.25,0.6000000000000001,18,8,0,10
0.2222222222222222,1.2222222222222223,0.56,18,9,0,11
0.2,1.2,0.52,19,10,0,12
0.18181818181818182,1.1818181818181819,0.48,20,11,0,13
0.16666666666666666,1.1666666666666667,0.43999999999999995,20,12,0,14
0.15384615384615385,1.1538461538461537,0.3999999999999999,21,13,0,15
0.5714285714285714,1.3571428571428572,0.2400000000000002,25,14,0,19
0.5333333333333333,1.3333333333333333,0.20000000000000018,26,15,0,20
0.5,1.3125,0.16000000000000014,26,16,0,21
0.47058823529411764,1.2941176470588236,0.1200000000000001,26,17,0,22
0.4444444444444444,1.2777777777777777,0.08000000000000007,26,18,0,23
0.42105263157894735,1.263157894736842,0.040000000000000036,26,19,0,24
0.4,1.25,0.0,26,20,0,25
0.38095238095238093,1.2380952380952381,0,26,21,0,26
0.36363636363636365,1.2272727272727273,0,26,22,1,27
0.34782608695652173,1.2173913043478262,0,26,23,1,28
0.4583333333333333,1.2916666666666667,0,28,24,1,31
0.44,1.28,0,28,25,1,32
0.4230769230769231,1.2692307692307692,0,28,26,1,33
0.4074074074074074,1.2592592592592593,0,28,27,1,34
0.39285714285714285,1.25,0,28,28,1,35
0.3793103448275862,1.2413793103448276,0,28,29,1,36
0.36666666666666664,1.2333333333333334,0,28,30,1,37
0.3548387096774194,1.2258064516129032,0,28,31,1,38
0.375,1.25,0,28,32,1,40
0.36363636363636365,1.2424242424242424,0,28,33,1,41
0.35294117647058826,1.2352941176470589,0,28,34,1,42
0.34285714285714286,1.2285714285714286,0,28,35,1,43
0.3333333333333333,1.2222222222222223,0,28,36,1,44
0.4864864864864865,1.2972972972972974,0,30,37,1,48
0.47368421052631576,1.2894736842105263,0,30,38,1,49
0.46153846153846156,1.2820512820512822,0,30,39,1,50
0.45,1.275,0,30,40,1,51
0.43902439024390244,1.2682926829268293,0,30,41,1,52
0.42857142857142855,1.2619047619047619,0,30,42,1,53
0.4186046511627907,1.255813953488372,0,30,43,1,54
0.4090909090909091,1.25,0,30,44,1,55
0.4,1.2444444444444445,0,30,45,1,56
0.391304347826087,1.2391304347826086,0,30,46,1,57
0.3829787234042553,1.2340425531914894,0,30,47,1,58
